Bus_ID	period	state	mileage	usage	decision
4403	0	0	504.0		0
4403	1	0	2705.0	0.0	0
4403	2	1	7345.0	1.0	0
4403	3	2	11591.0	1.0	0
4403	4	3	16057.0	1.0	0
4403	5	4	20796.0	1.0	0
4403	6	5	25299.0	1.0	0
4403	7	5	29311.0	0.0	0
4403	8	6	34621.0	1.0	0
4403	9	7	39738.0	1.0	0
4403	10	8	42477.0	1.0	0
4403	11	9	47038.0	1.0	0
4403	12	10	52917.0	1.0	0
4403	13	11	57723.0	1.0	0
4403	14	12	63005.0	1.0	0
4403	15	13	67321.0	1.0	0
4403	16	14	72315.0	1.0	0
4403	17	15	75145.0	1.0	0
4403	18	15	79329.0	0.0	0
4403	19	16	83318.0	1.0	0
4403	20	17	87139.0	1.0	0
4403	21	18	90723.0	1.0	0
4403	22	18	93915.0	0.0	0
4403	23	19	97306.0	1.0	0
4403	24	20	101288.0	1.0	0
4404	0	0	537.0		0
4404	1	0	570.0	0.0	0
4404	2	0	570.0	0.0	0
4404	3	0	4699.0	0.0	0
4404	4	1	9235.0	1.0	0
4404	5	2	13637.0	1.0	0
4404	6	3	17366.0	1.0	0
4404	7	4	21520.0	1.0	0
4404	8	5	25330.0	1.0	0
4404	9	5	29111.0	0.0	0
4404	10	6	32898.0	1.0	0
4404	11	7	37314.0	1.0	0
4404	12	8	42512.0	1.0	0
4404	13	9	47629.0	1.0	0
4404	14	10	52183.0	1.0	0
4404	15	11	58300.0	1.0	0
4404	16	12	63962.0	1.0	0
4404	17	13	67756.0	1.0	0
4404	18	14	73190.0	1.0	0
4404	19	15	76750.0	1.0	0
4404	20	16	82139.0	1.0	0
4404	21	17	87215.0	1.0	0
4404	22	18	90778.0	1.0	0
4404	23	19	95605.0	1.0	0
4404	24	19	99782.0	0.0	0
4405	0	0	508.0		0
4405	1	0	2953.0	0.0	0
4405	2	1	7506.0	1.0	0
4405	3	2	12056.0	1.0	0
4405	4	3	16864.0	1.0	0
4405	5	4	20890.0	1.0	0
4405	6	4	24925.0	0.0	0
4405	7	5	29144.0	1.0	0
4405	8	6	33675.0	1.0	0
4405	9	7	39164.0	1.0	0
4405	10	8	42850.0	1.0	0
4405	11	9	48826.0	1.0	0
4405	12	10	53828.0	1.0	0
4405	13	11	58009.0	1.0	0
4405	14	12	63168.0	1.0	0
4405	15	13	66932.0	1.0	0
4405	16	14	72274.0	1.0	0
4405	17	15	77193.0	1.0	0
4405	18	16	82443.0	1.0	0
4405	19	17	87852.0	1.0	0
4405	20	18	92741.0	1.0	0
4405	21	19	96007.0	1.0	0
4405	22	19	99176.0	0.0	0
4405	23	20	103253.0	1.0	0
4405	24	21	106585.0	1.0	0
4406	0	0	525.0		0
4406	1	0	2507.0	0.0	0
4406	2	1	5590.0	1.0	0
4406	3	1	7905.0	0.0	0
4406	4	2	11959.0	1.0	0
4406	5	3	15385.0	1.0	0
4406	6	3	19142.0	0.0	0
4406	7	4	21704.0	1.0	0
4406	8	5	25325.0	1.0	0
4406	9	5	25748.0	0.0	0
4406	10	5	25748.0	0.0	0
4406	11	5	26674.0	0.0	0
4406	12	5	29321.0	0.0	0
4406	13	6	31152.0	1.0	0
4406	14	6	34233.0	0.0	0
4406	15	7	37480.0	1.0	0
4406	16	8	41400.0	1.0	0
4406	17	8	44822.0	0.0	0
4406	18	9	47244.0	1.0	0
4406	19	10	50633.0	1.0	0
4406	20	10	54712.0	0.0	0
4406	21	11	57620.0	1.0	0
4406	22	12	60246.0	1.0	0
4406	23	12	62881.0	0.0	0
4406	24	13	65643.0	1.0	0
4407	0	0	586.0		0
4407	1	0	1069.0	0.0	0
4407	2	1	5574.0	1.0	0
4407	3	2	10279.0	1.0	0
4407	4	2	14819.0	0.0	0
4407	5	3	18742.0	1.0	0
4407	6	4	22962.0	1.0	0
4407	7	5	27090.0	1.0	0
4407	8	6	32724.0	1.0	0
4407	9	7	38393.0	1.0	0
4407	10	8	43046.0	1.0	0
4407	11	9	46289.0	1.0	0
4407	12	10	51053.0	1.0	0
4407	13	11	55643.0	1.0	0
4407	14	11	59412.0	0.0	0
4407	15	12	64405.0	1.0	0
4407	16	13	69883.0	1.0	0
4407	17	14	74763.0	1.0	0
4407	18	16	80394.0	2.0	0
4407	19	16	84105.0	0.0	0
4407	20	17	86739.0	1.0	0
4407	21	18	90150.0	1.0	0
4407	22	18	93963.0	0.0	0
4407	23	19	97126.0	1.0	0
4407	24	20	100022.0	1.0	0
4408	0	0	575.0		0
4408	1	0	2596.0	0.0	0
4408	2	1	7068.0	1.0	0
4408	3	1	9552.0	0.0	0
4408	4	1	9552.0	0.0	0
4408	5	1	9552.0	0.0	0
4408	6	2	10589.0	1.0	0
4408	7	2	14055.0	0.0	0
4408	8	3	18502.0	1.0	0
4408	9	4	22910.0	1.0	0
4408	10	5	26362.0	1.0	0
4408	11	6	31619.0	1.0	0
4408	12	7	36302.0	1.0	0
4408	13	8	40316.0	1.0	0
4408	14	9	46109.0	1.0	0
4408	15	10	50127.0	1.0	0
4408	16	11	55132.0	1.0	0
4408	17	11	59885.0	0.0	0
4408	18	12	63437.0	1.0	0
4408	19	13	66721.0	1.0	0
4408	20	13	69248.0	0.0	0
4408	21	14	71968.0	1.0	0
4408	22	15	75791.0	1.0	0
4408	23	15	79301.0	0.0	0
4408	24	16	80777.0	1.0	0
4409	0	0	504.0		0
4409	1	0	1929.0	0.0	0
4409	2	1	6851.0	1.0	0
4409	3	2	11176.0	1.0	0
4409	4	3	16607.0	1.0	0
4409	5	4	22331.0	1.0	0
4409	6	5	27372.0	1.0	0
4409	7	6	32040.0	1.0	0
4409	8	7	38724.0	1.0	0
4409	9	8	43782.0	1.0	0
4409	10	9	48088.0	1.0	0
4409	11	10	52802.0	1.0	0
4409	12	11	56899.0	1.0	0
4409	13	12	61476.0	1.0	0
4409	14	13	67537.0	1.0	0
4409	15	14	72579.0	1.0	0
4409	16	15	79359.0	1.0	0
4409	17	16	84539.0	1.0	0
4409	18	17	89747.0	1.0	0
4409	19	19	95097.0	2.0	0
4409	20	20	100409.0	1.0	0
4409	21	20	104848.0	0.0	0
4409	22	21	109120.0	1.0	0
4409	23	22	114299.0	1.0	0
4409	24	24	120151.0	2.0	0
4410	0	0	524.0		0
4410	1	0	3079.0	0.0	0
4410	2	1	7579.0	1.0	0
4410	3	2	13139.0	1.0	0
4410	4	3	17694.0	1.0	0
4410	5	4	21241.0	1.0	0
4410	6	5	25864.0	1.0	0
4410	7	6	30610.0	1.0	0
4410	8	7	36587.0	1.0	0
4410	9	8	40674.0	1.0	0
4410	10	9	45544.0	1.0	0
4410	11	10	50857.0	1.0	0
4410	12	10	54946.0	0.0	0
4410	13	12	60591.0	2.0	0
4410	14	13	65775.0	1.0	0
4410	15	14	71554.0	1.0	0
4410	16	15	76979.0	1.0	0
4410	17	16	80984.0	1.0	0
4410	18	16	83764.0	0.0	0
4410	19	17	86367.0	1.0	0
4410	20	18	90724.0	1.0	0
4410	21	18	94355.0	0.0	0
4410	22	19	95898.0	1.0	0
4410	23	19	98102.0	0.0	0
4410	24	20	101423.0	1.0	0
4411	0	0	517.0		0
4411	1	0	768.0	0.0	0
4411	2	1	5623.0	1.0	0
4411	3	1	8762.0	0.0	0
4411	4	2	13725.0	1.0	0
4411	5	3	18064.0	1.0	0
4411	6	4	22696.0	1.0	0
4411	7	5	28531.0	1.0	0
4411	8	6	33920.0	1.0	0
4411	9	7	39953.0	1.0	0
4411	10	8	43303.0	1.0	0
4411	11	9	48642.0	1.0	0
4411	12	10	53555.0	1.0	0
4411	13	11	58275.0	1.0	0
4411	14	12	62317.0	1.0	0
4411	15	13	67822.0	1.0	0
4411	16	14	73822.0	1.0	0
4411	17	15	78016.0	1.0	0
4411	18	16	81457.0	1.0	0
4411	19	17	86493.0	1.0	0
4411	20	18	91128.0	1.0	0
4411	21	19	95272.0	1.0	0
4411	22	19	97239.0	0.0	0
4411	23	19	98837.0	0.0	0
4411	24	20	103872.0	1.0	0
4412	0	0	491.0		0
4412	1	0	1314.0	0.0	0
4412	2	1	5558.0	1.0	0
4412	3	2	10319.0	1.0	0
4412	4	3	15020.0	1.0	0
4412	5	3	19582.0	0.0	0
4412	6	4	23758.0	1.0	0
4412	7	5	28834.0	1.0	0
4412	8	6	33527.0	1.0	0
4412	9	7	38300.0	1.0	0
4412	10	8	43122.0	1.0	0
4412	11	9	46587.0	1.0	0
4412	12	10	52006.0	1.0	0
4412	13	11	55752.0	1.0	0
4412	14	12	60709.0	1.0	0
4412	15	13	66117.0	1.0	0
4412	16	14	71034.0	1.0	0
4412	17	15	76996.0	1.0	0
4412	18	16	83086.0	1.0	0
4412	19	17	87424.0	1.0	0
4412	20	18	93754.0	1.0	0
4412	21	19	97777.0	1.0	0
4412	22	20	100373.0	1.0	0
4412	23	20	103421.0	0.0	0
4412	24	21	106467.0	1.0	0
4413	0	0	483.0		0
4413	1	0	1143.0	0.0	0
4413	2	0	4874.0	0.0	0
4413	3	1	9467.0	1.0	0
4413	4	2	14766.0	1.0	0
4413	5	3	18992.0	1.0	0
4413	6	4	23631.0	1.0	0
4413	7	5	29964.0	1.0	0
4413	8	7	35342.0	2.0	0
4413	9	8	40776.0	1.0	0
4413	10	8	43613.0	0.0	0
4413	11	9	48229.0	1.0	0
4413	12	10	53088.0	1.0	0
4413	13	11	56162.0	1.0	0
4413	14	12	60175.0	1.0	0
4413	15	13	65437.0	1.0	0
4413	16	14	70991.0	1.0	0
4413	17	15	75425.0	1.0	0
4413	18	16	80302.0	1.0	0
4413	19	16	84302.0	0.0	0
4413	20	17	89370.0	1.0	0
4413	21	18	93012.0	1.0	0
4413	22	19	96718.0	1.0	0
4413	23	20	101220.0	1.0	0
4413	24	20	104336.0	0.0	0
4414	0	0	518.0		0
4414	1	0	2237.0	0.0	0
4414	2	1	6609.0	1.0	0
4414	3	2	10743.0	1.0	0
4414	4	2	14366.0	0.0	0
4414	5	3	19245.0	1.0	0
4414	6	4	23842.0	1.0	0
4414	7	5	27637.0	1.0	0
4414	8	6	33156.0	1.0	0
4414	9	7	37356.0	1.0	0
4414	10	8	40793.0	1.0	0
4414	11	9	45311.0	1.0	0
4414	12	9	49142.0	0.0	0
4414	13	10	53101.0	1.0	0
4414	14	11	57286.0	1.0	0
4414	15	12	62091.0	1.0	0
4414	16	13	66642.0	1.0	0
4414	17	14	71118.0	1.0	0
4414	18	14	74699.0	0.0	0
4414	19	15	78061.0	1.0	0
4414	20	16	82123.0	1.0	0
4414	21	17	85432.0	1.0	0
4414	22	17	88936.0	0.0	0
4414	23	18	93554.0	1.0	0
4414	24	19	97378.0	1.0	0
4415	0	0	523.0		0
4415	1	0	3118.0	0.0	0
4415	2	1	8248.0	1.0	0
4415	3	2	13144.0	1.0	0
4415	4	3	17749.0	1.0	0
4415	5	4	22804.0	1.0	0
4415	6	5	27282.0	1.0	0
4415	7	6	31787.0	1.0	0
4415	8	7	36950.0	1.0	0
4415	9	8	41983.0	1.0	0
4415	10	9	45998.0	1.0	0
4415	11	10	50748.0	1.0	0
4415	12	11	56224.0	1.0	0
4415	13	12	60613.0	1.0	0
4415	14	13	65944.0	1.0	0
4415	15	14	70750.0	1.0	0
4415	16	15	76125.0	1.0	0
4415	17	16	80916.0	1.0	0
4415	18	17	86590.0	1.0	0
4415	19	18	91785.0	1.0	0
4415	20	19	96065.0	1.0	0
4415	21	20	100788.0	1.0	0
4415	22	21	105324.0	1.0	0
4415	23	21	108428.0	0.0	0
